instance_name,stretch_index,lower_bound
jupiter/graph_943.txt,3,2
jupiter/graph_946.txt,2,2
jupiter/graph_953.txt,3,3
jupiter/graph_955.txt,3,2
jupiter/graph_959.txt,3,2
jupiter/graph_968.txt,3,2
jupiter/graph_975.txt,3,2
jupiter/graph_978.txt,3,3
jupiter/graph_986.txt,3,3
jupiter/graph_992.txt,3,2
jupiter/graph_993.txt,3,2
jupiter/graph_999.txt,3,2
jupiter/graph_1001.txt,2,2
jupiter/graph_1002.txt,3,2
jupiter/graph_1003.txt,2,2
jupiter/graph_1005.txt,2,2
jupiter/graph_1006.txt,2,2
jupiter/graph_1007.txt,3,2
jupiter/graph_1008.txt,2,2
jupiter/graph_1009.txt,3,2
jupiter/graph_1010.txt,3,3
jupiter/graph_1011.txt,3,2
jupiter/graph_1012.txt,3,2
jupiter/graph_1013.txt,3,2
jupiter/graph_1015.txt,2,2
jupiter/graph_1017.txt,3,2
jupiter/graph_1019.txt,3,2
jupiter/graph_1020.txt,2,2
jupiter/graph_1023.txt,3,2
jupiter/graph_1024.txt,3,2
jupiter/graph_1029.txt,3,2
jupiter/graph_1030.txt,2,2
jupiter/graph_1032.txt,3,2
jupiter/graph_1036.txt,3,2
jupiter/graph_1037.txt,3,2
jupiter/graph_1039.txt,2,2
jupiter/graph_1041.txt,3,2
jupiter/graph_1042.txt,3,2
jupiter/graph_1043.txt,2,2
jupiter/graph_1044.txt,3,2
jupiter/graph_1046.txt,3,2
jupiter/graph_1048.txt,3,2
jupiter/graph_1049.txt,3,2
jupiter/graph_1050.txt,3,2
jupiter/graph_1051.txt,2,2
jupiter/graph_1052.txt,3,2
jupiter/graph_1053.txt,3,3
jupiter/graph_1055.txt,3,2
jupiter/graph_1057.txt,3,2
jupiter/graph_1058.txt,3,2
jupiter/graph_1059.txt,3,2
jupiter/graph_1062.txt,3,2
jupiter/graph_1063.txt,3,2
jupiter/graph_1067.txt,3,2
jupiter/graph_1068.txt,3,2
jupiter/graph_1073.txt,3,3
jupiter/graph_1074.txt,2,2
jupiter/graph_1077.txt,2,2
jupiter/graph_1080.txt,3,2
jupiter/graph_1082.txt,3,2
jupiter/graph_1085.txt,3,2
jupiter/graph_1086.txt,2,2
jupiter/graph_1088.txt,3,2
jupiter/graph_1089.txt,3,3
jupiter/graph_1090.txt,3,2
jupiter/graph_1091.txt,3,2
jupiter/graph_1092.txt,2,2
jupiter/graph_1093.txt,3,2
jupiter/graph_1094.txt,3,2
jupiter/graph_1095.txt,3,2
jupiter/graph_1096.txt,3,2
jupiter/graph_1101.txt,2,2
jupiter/graph_1103.txt,3,2
jupiter/graph_1104.txt,2,2
jupiter/graph_1105.txt,3,2
jupiter/graph_1107.txt,3,2
jupiter/graph_1108.txt,3,2
jupiter/graph_1109.txt,2,2
jupiter/graph_1110.txt,3,2
jupiter/graph_1111.txt,2,2
jupiter/graph_1112.txt,3,2
jupiter/graph_1114.txt,2,2
